Subject,Marks,Total Marks,Percentage
Mathematics-3,62,100,62
Data Structures and Algorithms,70,100,70
Object Oriented Programming,78,100,78
IT Workshop,39,50,78
Digital Electronics,66,100,66
Digital Electronics Lab,38,50,76
Development of Societies,77,100,77
Data Structures and Algorithms Lab,41,50,82
Object Oriented Programming Lab,40,50,80
