Subject,Marks,Total Marks,Percentage
Engineering Mathematics -2,57,100,57
Chemistry-1,60,100,60
English,78,100,78
Programming for Problem Solving,55,100,55
Chemistry-1 Lab,39,50,78
Programming for Problem Solving Lab,42,50,84
Manufacturing Practices,90,100,90
English Lab,43,50,86
